sample_name,tissue,time,category,muts_per_mbp
hairfollicle21-b5-w17,Hair follicle,Week 17,Visually normal,45.203152483714966
hairfollicle21-b5-w8,Hair follicle,Week 8,Visually normal,39.01590734279376
hairfollicle21-b6-w14,Hair follicle,Week 14,SCC,148.4559473594414
hairfollicle21-b6-w17,Hair follicle,Week 17,SCC,22.326970444449604
hairfollicle21-b6-w8,Hair follicle,Week 8,SCC,64.34345546628587
hairfollicle21-b7-w14,Hair follicle,Week 14,SCC,34.65090785378577
hairfollicle21-b7-w17,Hair follicle,Week 17,SCC,2.751542583560909
hairfollicle21-b7-w8,Hair follicle,Week 8,SCC,184.99872813374407
hairfollicle21-c1-w17,Hair follicle,Week 17,Visually normal,23.848224876208885
hairfollicle21-c2-w17,Hair follicle,Week 17,Visually normal,24.28011674590769
hairfollicle21-c3-w17,Hair follicle,Week 17,Visually normal,19.917032037652536
hairfollicle21-c5-w14,Hair follicle,Week 14,Visually normal,27.571948125313384
hairfollicle21-c5-w17,Hair follicle,Week 17,Visually normal,24.656303457947935
hairfollicle21-c6-w14,Hair follicle,Week 14,SCC,5.074830164913527
hairfollicle21-c6-w17,Hair follicle,Week 17,SCC,40.25496663002076
hairfollicle21-c6-w8,Hair follicle,Week 8,SCC,45.88098190948176
hairfollicle21-c7-w14,Hair follicle,Week 14,SCC,138.20881377349548
hairfollicle21-c7-w17,Hair follicle,Week 17,SCC,9.42040297792396
hairfollicle21-c7-w8,Hair follicle,Week 8,SCC,120.87598710499664
hairfollicle21-d1-w14,Hair follicle,Week 14,Visually normal,31.056784742836882
hairfollicle21-d1-w17,Hair follicle,Week 17,Papilloma,17.398478731962243
hairfollicle21-d1-w8,Hair follicle,Week 8,Visually normal,57.92802504276517
hairfollicle21-d2-w17,Hair follicle,Week 17,Papilloma,23.681250370019537
hairfollicle21-d2-w8,Hair follicle,Week 8,Papilloma,52.636792132381274
hairfollicle21-d3-w17,Hair follicle,Week 17,Visually normal,20.424697544270533
hairfollicle21-d3-w8,Hair follicle,Week 8,Visually normal,32.69755627131251
hairfollicle21-d4-w14,Hair follicle,Week 14,Visually normal,60.298534631837626
hairfollicle21-d4-w17,Hair follicle,Week 17,Visually normal,21.76090403850249
hairfollicle21-d4-w8,Hair follicle,Week 8,Visually normal,34.23303368679354
hairfollicle21-d5-w17,Hair follicle,Week 17,Papilloma,32.77314022670819
hairfollicle21-d6-w17,Hair follicle,Week 17,Papilloma,17.27541917836617
hairfollicle21-d7-w17,Hair follicle,Week 17,Visually normal,10.256473373169475
hairfollicle21-e1-w14,Hair follicle,Week 14,Papilloma,16.10225812212538
hairfollicle21-e1-w17,Hair follicle,Week 17,Papilloma,36.42062176071449
hairfollicle21-e2-w14,Hair follicle,Week 14,Papilloma,31.916237045694835
hairfollicle21-e2-w17,Hair follicle,Week 17,Papilloma,10.36591686534674
hairfollicle21-e2-w8,Hair follicle,Week 8,Papilloma,21.473139394693913
hairfollicle21-e3-w14,Hair follicle,Week 14,SCC,74.35198573691487
hairfollicle21-e3-w17,Hair follicle,Week 17,SCC,24.902013472568402
hairfollicle21-e3-w8,Hair follicle,Week 8,SCC,25.80635045285245
hairfollicle21-e4-w14,Hair follicle,Week 14,SCC,11.006429379868221
hairfollicle21-e4-w17,Hair follicle,Week 17,SCC,20.351028700259434
hairfollicle21-e4-w8,Hair follicle,Week 8,SCC,26.421860895606443
hairfollicle21-e5-w17,Hair follicle,Week 17,Visually normal,26.93961279320917
hairfollicle21-e6-w17,Hair follicle,Week 17,Visually normal,22.757606624655
hairfollicle21-e7-w17,Hair follicle,Week 17,Visually normal,4.753958859240032
